,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C0SP91,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O05253,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O05404,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O05501,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06714,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06727,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06966,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06968,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06973,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O06993,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07517,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07521,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O07522,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07523,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07527,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07568,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07573,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07585,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07621,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07628,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07639,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O08455,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31435,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31469,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31488,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31498,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31501,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31502;O35023,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31516,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31522,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31530,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31543,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31550,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31570,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31602;P20429,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O31605,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31613,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31633,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31653,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31654,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O31661,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31677,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31728,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31740;P21476;P54602;P37541,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31741,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31794,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31824,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31851,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31861,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31863,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31915,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O31927,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31976,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32053,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32071,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O32193,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32198,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32206,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32212,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32239,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32247,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32257,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34319,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O34341;Q45614,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O34347,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
O34358,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O34384,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34389,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34427,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34441,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34454,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O34509,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34529,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34534,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34549,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34580,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
O34592,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34623,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34635,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34649,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34703;P45932,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34755,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34767,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O34798,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34831,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34835,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
O34858,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34894,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34944,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34961,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34968,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
O34994,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34996,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O35002,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O54408,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05096,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05645,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05648,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05649,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05651,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P05653,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P06224,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
P06567,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P06574,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P07343,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P07908,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P08838,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P08877,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P09122,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P09124,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P0CI74,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P11044,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P12047,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P13267,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P13799,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P14193,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P16655,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P17631,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P17820,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P17865,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P17867,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P17904,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P19582,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P21458,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P21465,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P21883,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P23477,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P24009,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P25144,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P25499,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P25811,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P25994,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P26899,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P26936,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P27206,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
P28264,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P29072,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P32399,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P35154,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P35161,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P35536,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P36839,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P36949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P37104,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37455,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37465,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37469,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37471,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37476,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37510,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37514,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37540,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37542,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37561,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37563;O32165,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37568,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
P37585,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37870,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
P37871,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
P37875,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37941,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37945,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37949,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37958,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P37965,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39066,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39142,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39209,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39214,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39216,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39582,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39583,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P39617,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39668,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39762,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39764,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39782,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39787,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39798,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39804,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39810,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P39847,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P40404,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P40408,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P40762,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P40806,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P40950,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42091,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42103,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42111,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42240,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42249,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42312,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42410,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42924,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P42970,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45743,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P45745,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45870,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45905,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45910,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45920,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P45931,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46328,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46333,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46335,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46343,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46344,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P46905,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P49850,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P49853,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P50832,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P50849,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P51834,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54159,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54326,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54394,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54423,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54459,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54475,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54521,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54522,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54545,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54560,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54601,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54617,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P54944,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P70965,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71003,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71006,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71012,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71014,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71021,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71042,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71070,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71080,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80866,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80868,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80877,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94404,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94412,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94413,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94417,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94461,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94492,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94514,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94532,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P94542,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94591,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96591,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96593,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96604,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96648,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96669,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96706,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96722,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P97032,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q01466,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q01467,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q04747,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Q04778,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q06754,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q07867,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q07868,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q08794,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q9R9I1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
order,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
